text,label
আমি এখনও কিছুই জানতে পারলাম না অনেক কিছু জানার আছে,2 ->ok
সে গালি দেয়,2 -> ok
তোমার ব্যাপারে আমি কষ্ট পেয়েছি,2 -> ok
সে যাবে না,2 -> OK
সে ঘৃণ্য কাজ করে তাই আমার নিরতিশয় কষ্ট লাগে,2 -> OK
আমি আরো খারাপ হয়েছি,2 -> OK
তার প্রস্তুত করা জিনিসপত্র সব নষ্ট হয়ে গেছে তাই তার মন খারাপ,2 -> OK
সে মোটেও দয়ালু না,2 -> OK
সে বৈধ ভাবে কাজ করে না,2 -> OK
অবশ্যই তাকে কষ্ট দিতে চাই নাই,2->OK
তাকে ক্ষান্ত করো নয়তো ভাল হবে না,2 -> ok
আজকাল এসব ভয়ংকর কর্মকান্ড দেখে মনে হয় আমার ভাগ্য আসলে অনেক খারাপ,2 -> ok
অনেক ধরনের কষ্ট আমার মনে,2 ->ok
খুশির মধ্যে ভয়ের অনেক কিছু আছে,2 -> ok
সে নিয়মিত কাজ করে না,2 -> ok
দিনগুলার কথা মনে পড়লে খারাপ লাগে,2 ->ok
তোমার চোখের পানি সহ্য হয় না,2 -> OK
জমা জিনিস আর খুঁজে পেলাম না,2 -> ok
সেখানে সে কষ্ট পেতে গেছে,2 - ok
জলদি ছাড়িয়ে আনতে না পারলে ভাল হবে না,2  -ok
সে সঠিক কথা বলে না,2 -ok
তিনি নিজের খেয়াল রাখেন না,2 - ok
তার কোনো ভালো দিক নেই,2 - ok
সে মরে গেছে,2 - ok
কাউকে নিয়ে খারাপ চিন্তা করা ভাল না,2  - ok
তার মধ্যে সব বদলে গেছে আমাকে ভুলে গেছে সে,2 - 
সে খুব অপরিচ্ছন্ন ব্যক্তি তাই কষ্ট লাগে,2
সে গরিব দের অবহেলা করে,2
সে মোটেই সিধা মানুষ না তাই খারাপ লাগে,2
মেয়েটা ভালোবাসার কথা দিয়ে সবাইকে ঠকায়,2
সে এত অশুভ মনের মানুষ,2
তার নিজের দিকে কোনো বিশ্বাস নেই,2


M_SAKIB_SAD_10